排名,城市,二手房价格,同比,环比,新房价格
1,上海,69431,-0.9%,-3.4%,59384
2,深圳,66653,-2.17%,+0.3%,61295
3,北京,58419,-11.72%,-0.61%,56888
4,厦门,44175,-9.64%,-4.12%,34814
5,广州,39663,-6.92%,-0.2%,37848
6,杭州,35416,-14.01%,+0.25%,28689
7,三亚,33279,-13.65%,--,31138
8,南京,26992,-16.33%,-2.92%,30515
9,宁波,23633,-9.12%,-1.17%,22709
10,珠海,22778,-4.58%,-0.17%,26176
11,福州,22516,-13.59%,-0.52%,17829
12,东莞,22245,-22.35%,-0.65%,25848
13,苏州,21311,-11.65%,-0.11%,23669
14,天津,19302,-14.34%,+0.25%,20365
15,成都,18179,+5.28%,+0.63%,18469
16,丽水,17855,-11.78%,+1.62%,12593
17,合肥,17855,-13.26%,-0.3%,19370
18,温州,17708,-20.28%,-0.32%,18711
19,青岛,17527,-14.13%,-0.67%,17513
20,金华,16853,-17.82%,-0.84%,18714
21,台州,16639,-3.92%,-0.31%,15456
22,绍兴,16607,-7.29%,+0.28%,20332
23,海口,16554,-2.94%,--,19951
24,无锡,15689,-14.52%,+0.38%,22324
25,济南,15660,-4.23%,-0.51%,15576
26,武汉,15613,-15.38%,-0.75%,16545
27,佛山,15276,-7.81%,-0.89%,17535
28,嘉兴,15265,-22.62%,-0.46%,15976
29,西安,15075,-13.83%,+0.05%,18221
30,泉州,14878,-9.25%,-0.92%,10221
31,常州,14251,-20.83%,-0.33%,17403
32,莆田,13817,-10.51%,-0.35%,10703
33,衢州,13791,-18.83%,+6.01%,15304
34,舟山,13544,-12.34%,-0.22%,14395
35,南通,13433,-19.92%,-0.69%,16304
36,宁德,13301,-18.29%,+7.06%,9926
37,扬州,13104,-11.27%,-0.43%,14271
38,大连,13039,-12.96%,-0.54%,15517
39,石家庄,12715,-8.25%,-0.79%,15195
40,郑州,12297,-7.82%,-0.55%,12802
41,南昌,12011,-8.97%,+0.07%,11632
42,昆明,11820,-9.48%,-1.24%,14078
43,拉萨,11701,+9.6%,-0.37%,5923
44,漳州,11615,-9.71%,-0.3%,10700
45,榆林,11412,+5.56%,+0.3%,7963
46,重庆,11230,-16.52%,-1.11%,12397
47,湖州,11165,-19.6%,-0.26%,13361
48,泰州,11071,-11.18%,-0.76%,13284
49,长沙,10903,-7.26%,-0.55%,12701
50,汕头,10894,-18.15%,-1.17%,9674
51,三明,10600,+2.02%,+4.58%,9257
52,兰州,10598,-10.87%,-1.41%,9257
53,中山,10560,-17.38%,+0.16%,12738
54,大理州,10559,--,--,6461
55,龙岩,10525,-13.15%,+0.1%,10388
56,芜湖,10269,-21.14%,-0.75%,13657
57,南宁,10255,--,--,12321
58,连云港,10213,-19.3%,-2.19%,7964
59,凉山,10205,--,--,6057
60,廊坊,10197,-18.09%,-0.52%,11642
61,太原,9856,-4.91%,-0.34%,10682
62,惠州,9753,-13.8%,-0.18%,11272
63,盐城,9681,-21.47%,-0.81%,11570
64,唐山,9677,-9.19%,+2%,10919
65,秦皇岛,9674,-13.88%,-1.09%,11725
66,徐州,9624,-15.15%,-0.24%,11186
67,邯郸,9615,-3.76%,+6.05%,8362
68,沧州,9541,-0.81%,-0.66%,8872
69,湛江,9462,-9.61%,-0.89%,9936
70,呼和浩特,9411,-9.09%,-0.3%,11182
71,赣州,9383,-1.73%,+0.35%,8874
72,沈阳,9194,-18.3%,-1.17%,13363
73,泰安,9188,-4.72%,-0.53%,9566
74,宿迁,9162,-6.71%,-0.23%,10893
75,西宁,9076,-9.76%,-0.42%,10244
76,保定,8717,-9.62%,+0.31%,10209
77,鄂尔多斯,8716,+4.96%,+0.71%,7057
78,哈尔滨,8692,-3.71%,-0.37%,11063
79,聊城,8513,-12.83%,+5.65%,8057
80,日照,8476,-17.47%,+6.9%,9587
81,乌鲁木齐,8458,-1.05%,-1.58%,9387
82,陇南,8436,-1.34%,-1.26%,6005
83,淮安,8431,-18.34%,-0.55%,8756
84,镇江,8404,-11.26%,+0.2%,9878
85,长治,8398,-14.45%,+6.17%,7204
86,马鞍山,8380,-11.32%,-0.67%,10763
87,临沂,8312,-18.01%,-0.7%,9876
88,长春,8290,-10.92%,-0.87%,9789
89,九江,8262,-5.57%,-1.14%,7038
90,烟台,8242,-18.51%,-0.69%,10416
91,威海,8242,-5.63%,-0.13%,10562
92,承德,8238,-10.8%,-0.91%,9505
93,晋城,8184,-7.01%,+5.62%,6473
94,咸阳,8182,-12.73%,-1.12%,8682
95,贵阳,8158,-10.38%,-0.21%,9588
96,阿坝,8075,-14.67%,-1.03%,6761
97,洛阳,8073,-14.24%,-0.27%,8613
98,黄山,8038,-16.91%,+5.57%,8868
99,日喀则,8037,-2.63%,+0.63%,10574
100,襄阳,8029,-7.59%,-1.06%,7918
101,济源,8024,-11.27%,-0.92%,3775
102,丽江,7928,+5.81%,-0.97%,11247
103,淄博,7905,-6.24%,-0.83%,8538
104,江门,7832,-8.16%,-0.46%,8117
105,西双版纳,7798,-6.78%,-0.32%,7307
106,天水,7794,-18.6%,--,6714
107,南平,7787,-7.5%,+5.19%,8061
108,绵阳,7782,-8.18%,-0.18%,7858
109,济宁,7750,-16.26%,+2.05%,9055
110,池州,7732,-15%,+6.29%,7443
111,德州,7706,-10.34%,-0.14%,6891
112,宜春,7656,-3.36%,-0.73%,8883
113,枣庄,7600,-13.69%,-0.64%,7557
114,茂名,7594,+0.4%,-1.25%,6904
115,蚌埠,7554,-8.65%,-0.65%,7200
116,吉安,7548,-3.65%,-0.36%,7193
117,上饶,7546,-2.92%,-1.14%,7649
118,宣城,7506,-2.65%,-0.37%,6935
119,神农架,7504,+14.27%,+0.27%,7806
120,甘孜,7395,-9.25%,-0.47%,7028
121,汕尾,7353,+4.34%,-0.69%,7177
